file,species
Cleavers_87.png,Cleavers
Charlock_156.png,Charlock
Cleavers_93.png,Cleavers
Charlock_142.png,Charlock
Maize_15.png,Maize
Shepherds Purse_233.png,Shepherds Purse
Common Chickweed_108.png,Common Chickweed
Sugar beet_55.png,Sugar beet
Small-flowered Cranesbill_28.png,Small-flowered Cranesbill
Charlock_91.png,Charlock
Cleavers_78.png,Cleavers
Common Chickweed_58.png,Common Chickweed
Charlock_85.png,Charlock
Common wheat_126.png,Common wheat
Common Chickweed_70.png,Common Chickweed
Fat Hen_127.png,Fat Hen
Sugar beet_82.png,Sugar beet
Small-flowered Cranesbill_14.png,Small-flowered Cranesbill
Charlock_195.png,Charlock
Cleavers_44.png,Cleavers
Charlock_181.png,Charlock
Cleavers_50.png,Cleavers
Common wheat_132.png,Common wheat
Fat Hen_133.png,Fat Hen
Common Chickweed_64.png,Common Chickweed
Sugar beet_96.png,Sugar beet
Cleavers_179.png,Cleavers
Common wheat_47.png,Common wheat
Fat Hen_47.png,Fat Hen
Fat Hen_53.png,Fat Hen
Maize_178.png,Maize
Common wheat_53.png,Common wheat
Cleavers_145.png,Cleavers
Scentless Mayweed_81.png,Scentless Mayweed
Loose Silky-bent_62.png,Loose Silky-bent
Maize_150.png,Maize
Loose Silky-bent_76.png,Loose Silky-bent
Maize_144.png,Maize
Scentless Mayweed_95.png,Scentless Mayweed
Cleavers_151.png,Cleavers
Sugar beet_205.png,Sugar beet
Common wheat_84.png,Common wheat
Fat Hen_84.png,Fat Hen
Fat Hen_0.png,Fat Hen
Loose Silky-bent_207.png,Loose Silky-bent
Loose Silky-bent_213.png,Loose Silky-bent
Loose Silky-bent_89.png,Loose Silky-bent
Fat Hen_90.png,Fat Hen
Common wheat_90.png,Common wheat
Sugar beet_211.png,Sugar beet
Scentless Mayweed_42.png,Scentless Mayweed
Cleavers_186.png,Cleavers
Sugar beet_239.png,Sugar beet
Maize_193.png,Maize
Small-flowered Cranesbill_240.png,Small-flowered Cranesbill
Maize_187.png,Maize
Cleavers_192.png,Cleavers
Scentless Mayweed_56.png,Scentless Mayweed
Shepherds Purse_68.png,Shepherds Purse
Scentless Mayweed_107.png,Scentless Mayweed
Shepherds Purse_179.png,Shepherds Purse
Common Chickweed_242.png,Common Chickweed
Scentless Mayweed_113.png,Scentless Mayweed
Charlock_208.png,Charlock
Charlock_220.png,Charlock
Shepherds Purse_54.png,Shepherds Purse
Shepherds Purse_151.png,Shepherds Purse
Shepherds Purse_145.png,Shepherds Purse
Black-grass_248.png,Black-grass
Shepherds Purse_40.png,Shepherds Purse
Charlock_234.png,Charlock
Common Chickweed_6.png,Common Chickweed
Shepherds Purse_97.png,Shepherds Purse
Common wheat_250.png,Common wheat
Shepherds Purse_192.png,Shepherds Purse
Fat Hen_251.png,Fat Hen
Common wheat_244.png,Common wheat
Fat Hen_245.png,Fat Hen
Shepherds Purse_186.png,Shepherds Purse
Shepherds Purse_83.png,Shepherds Purse
Black-grass_93.png,Black-grass
Charlock_7.png,Charlock
Black-grass_87.png,Black-grass
Maize_226.png,Maize
Cleavers_233.png,Cleavers
Cleavers_227.png,Cleavers
Sugar beet_198.png,Sugar beet
Maize_232.png,Maize
Loose Silky-bent_171.png,Loose Silky-bent
Black-grass_50.png,Black-grass
Sugar beet_173.png,Sugar beet
Black-grass_44.png,Black-grass
Sugar beet_167.png,Sugar beet
Loose Silky-bent_165.png,Loose Silky-bent
Small-flowered Cranesbill_136.png,Small-flowered Cranesbill
Black-grass_78.png,Black-grass
Loose Silky-bent_159.png,Loose Silky-bent
Small-flowered Cranesbill_122.png,Small-flowered Cranesbill
Cleavers_1.png,Cleavers
Black-grass_79.png,Black-grass
Cleavers_0.png,Cleavers
Small-flowered Cranesbill_123.png,Small-flowered Cranesbill
Loose Silky-bent_158.png,Loose Silky-bent
Small-flowered Cranesbill_137.png,Small-flowered Cranesbill
Sugar beet_166.png,Sugar beet
Black-grass_45.png,Black-grass
Loose Silky-bent_164.png,Loose Silky-bent
Loose Silky-bent_170.png,Loose Silky-bent
Sugar beet_172.png,Sugar beet
Black-grass_51.png,Loose Silky-bent
Sugar beet_199.png,Sugar beet
Cleavers_226.png,Cleavers
Maize_233.png,Maize
Maize_227.png,Maize
Cleavers_232.png,Cleavers
Black-grass_86.png,Black-grass
Charlock_6.png,Charlock
Black-grass_92.png,Loose Silky-bent
Fat Hen_244.png,Fat Hen
Shepherds Purse_187.png,Shepherds Purse
Common wheat_245.png,Common wheat
Shepherds Purse_82.png,Shepherds Purse
Shepherds Purse_96.png,Shepherds Purse
Shepherds Purse_193.png,Shepherds Purse
Fat Hen_250.png,Fat Hen
Common wheat_251.png,Common wheat
Common Chickweed_7.png,Common Chickweed
Shepherds Purse_144.png,Shepherds Purse
Charlock_235.png,Charlock
Shepherds Purse_41.png,Shepherds Purse
Black-grass_249.png,Black-grass
Shepherds Purse_55.png,Shepherds Purse
Charlock_221.png,Charlock
Shepherds Purse_150.png,Shepherds Purse
Scentless Mayweed_112.png,Scentless Mayweed
Shepherds Purse_178.png,Shepherds Purse
Common Chickweed_243.png,Common Chickweed
Charlock_209.png,Charlock
Shepherds Purse_69.png,Shepherds Purse
Scentless Mayweed_106.png,Scentless Mayweed
Maize_186.png,Maize
Scentless Mayweed_57.png,Scentless Mayweed
Cleavers_193.png,Cleavers
Sugar beet_238.png,Sugar beet
Cleavers_187.png,Cleavers
Scentless Mayweed_43.png,Scentless Mayweed
Small-flowered Cranesbill_241.png,Small-flowered Cranesbill
Maize_192.png,Maize
Fat Hen_91.png,Fat Hen
Loose Silky-bent_88.png,Loose Silky-bent
Loose Silky-bent_212.png,Loose Silky-bent
Sugar beet_210.png,Sugar beet
Common wheat_91.png,Common wheat
Common wheat_85.png,Common wheat
Sugar beet_204.png,Sugar beet
Loose Silky-bent_206.png,Loose Silky-bent
Fat Hen_1.png,Fat Hen
Fat Hen_85.png,Fat Hen
Maize_145.png,Maize
Loose Silky-bent_77.png,Loose Silky-bent
Cleavers_150.png,Cleavers
Scentless Mayweed_94.png,Scentless Mayweed
Scentless Mayweed_80.png,Scentless Mayweed
Cleavers_144.png,Cleavers
Maize_151.png,Maize
Loose Silky-bent_63.png,Loose Silky-bent
Maize_179.png,Maize
Fat Hen_52.png,Fat Hen
Common wheat_52.png,Common wheat
Common wheat_46.png,Common wheat
Cleavers_178.png,Cleavers
Fat Hen_46.png,Fat Hen
Cleavers_51.png,Cleavers
Charlock_180.png,Charlock
Sugar beet_97.png,Sugar beet
Fat Hen_132.png,Fat Hen
Common Chickweed_65.png,Common Chickweed
Common wheat_133.png,Common wheat
Small-flowered Cranesbill_15.png,Small-flowered Cranesbill
Sugar beet_83.png,Sugar beet
Common Chickweed_71.png,Common Chickweed
Fat Hen_126.png,Fat Hen
Common wheat_127.png,Common wheat
Cleavers_45.png,Cleavers
Charlock_194.png,Charlock
Charlock_84.png,Charlock
Common Chickweed_59.png,Common Chickweed
Charlock_90.png,Charlock
Small-flowered Cranesbill_29.png,Small-flowered Cranesbill
Cleavers_79.png,Cleavers
Maize_14.png,Maize
Charlock_143.png,Charlock
Cleavers_92.png,Cleavers
Sugar beet_54.png,Sugar beet
Shepherds Purse_232.png,Shepherds Purse
Common Chickweed_109.png,Common Chickweed
Sugar beet_40.png,Sugar beet
Shepherds Purse_226.png,Shepherds Purse
Charlock_157.png,Charlock
Cleavers_86.png,Cleavers
Maize_28.png,Maize
Black-grass_103.png,Black-grass
Common Chickweed_135.png,Common Chickweed
Sugar beet_68.png,Sugar beet
Charlock_47.png,Charlock
Charlock_53.png,Charlock
Loose Silky-bent_0.png,Loose Silky-bent
Common Chickweed_121.png,Common Chickweed
Black-grass_117.png,Black-grass
Charlock_45.png,Charlock
Common Chickweed_137.png,Common Chickweed
Common Chickweed_98.png,Common Chickweed
Black-grass_101.png,Black-grass
Charlock_169.png,Charlock
Black-grass_115.png,Black-grass
Shepherds Purse_218.png,Shepherds Purse
Common Chickweed_123.png,Common Chickweed
Loose Silky-bent_2.png,Loose Silky-bent
Charlock_51.png,Charlock
Sugar beet_56.png,Sugar beet
Shepherds Purse_230.png,Shepherds Purse
Charlock_79.png,Charlock
Cleavers_90.png,Cleavers
Charlock_141.png,Charlock
Maize_16.png,Maize
Black-grass_129.png,Loose Silky-bent
Cleavers_84.png,Cleavers
Charlock_155.png,Charlock
Sugar beet_42.png,Sugar beet
Shepherds Purse_224.png,Shepherds Purse
Charlock_86.png,Charlock
Charlock_92.png,Charlock
Common wheat_119.png,Common wheat
Fat Hen_118.png,Fat Hen
Common wheat_131.png,Common wheat
Sugar beet_95.png,Sugar beet
Common Chickweed_67.png,Common Chickweed
Fat Hen_130.png,Fat Hen
Charlock_182.png,Charlock
Cleavers_53.png,Cleavers
Charlock_196.png,Charlock
Cleavers_47.png,Cleavers
Common wheat_125.png,Common wheat
Sugar beet_81.png,Sugar beet
Fat Hen_124.png,Fat Hen
Common Chickweed_73.png,Common Chickweed
Small-flowered Cranesbill_17.png,Small-flowered Cranesbill
Common wheat_50.png,Common wheat
Fat Hen_50.png,Fat Hen
Loose Silky-bent_49.png,Loose Silky-bent
Fat Hen_44.png,Fat Hen
Common wheat_44.png,Common wheat
Scentless Mayweed_96.png,Scentless Mayweed
Cleavers_152.png,Cleavers
Loose Silky-bent_75.png,Loose Silky-bent
Maize_147.png,Maize
Fat Hen_78.png,Fat Hen
Loose Silky-bent_61.png,Loose Silky-bent
Maize_153.png,Maize
Cleavers_146.png,Charlock
Common wheat_78.png,Common wheat
Scentless Mayweed_82.png,Scentless Mayweed
Scentless Mayweed_69.png,Scentless Mayweed
Common wheat_93.png,Common wheat
Sugar beet_212.png,Sugar beet
Loose Silky-bent_210.png,Loose Silky-bent
Fat Hen_93.png,Fat Hen
Fat Hen_87.png,Fat Hen
Fat Hen_3.png,Fat Hen
Loose Silky-bent_204.png,Loose Silky-bent
Sugar beet_206.png,Sugar beet
Common wheat_87.png,Common wheat
Cleavers_191.png,Cleavers
Scentless Mayweed_55.png,Scentless Mayweed
Maize_184.png,Maize
Maize_190.png,Maize
Loose Silky-bent_238.png,Loose Silky-bent
Small-flowered Cranesbill_243.png,Small-flowered Cranesbill
Scentless Mayweed_41.png,Scentless Mayweed
Cleavers_185.png,Cleavers
Common Chickweed_241.png,Common Chickweed
Scentless Mayweed_110.png,Scentless Mayweed
Scentless Mayweed_104.png,Scentless Mayweed
Shepherds Purse_43.png,Shepherds Purse
Charlock_237.png,Charlock
Shepherds Purse_146.png,Shepherds Purse
Shepherds Purse_152.png,Shepherds Purse
Scentless Mayweed_138.png,Scentless Mayweed
Charlock_223.png,Charlock
Shepherds Purse_57.png,Shepherds Purse
Common Chickweed_5.png,Common Chickweed
Maize_9.png,Maize
Shepherds Purse_80.png,Shepherds Purse
Common wheat_247.png,Common wheat
Shepherds Purse_185.png,Shepherds Purse
Fat Hen_246.png,Fat Hen
Fat Hen_252.png,Fat Hen
Shepherds Purse_191.png,Shepherds Purse
Shepherds Purse_94.png,Shepherds Purse
Charlock_4.png,Charlock
Black-grass_84.png,Black-grass
Cleavers_218.png,Cleavers
Black-grass_90.png,Black-grass
Maize_219.png,Maize
Loose Silky-bent_199.png,Loose Silky-bent
Maize_231.png,Loose Silky-bent
Cleavers_224.png,Cleavers
Cleavers_230.png,Cleavers
Maize_225.png,Maize
Loose Silky-bent_166.png,Loose Silky-bent
Black-grass_47.png,Black-grass
Sugar beet_164.png,Sugar beet
Black-grass_53.png,Black-grass
Sugar beet_170.png,Sugar beet
Loose Silky-bent_172.png,Loose Silky-bent
Small-flowered Cranesbill_109.png,Small-flowered Cranesbill
Cleavers_2.png,Cleavers
Small-flowered Cranesbill_121.png,Small-flowered Cranesbill
Sugar beet_158.png,Sugar beet
Small-flowered Cranesbill_135.png,Small-flowered Cranesbill
Small-flowered Cranesbill_134.png,Small-flowered Cranesbill
Small-flowered Cranesbill_120.png,Small-flowered Cranesbill
Cleavers_3.png,Cleavers
Sugar beet_159.png,Sugar beet
Sugar beet_171.png,Sugar beet
Black-grass_52.png,Black-grass
Small-flowered Cranesbill_108.png,Small-flowered Cranesbill
Loose Silky-bent_173.png,Loose Silky-bent
Loose Silky-bent_167.png,Loose Silky-bent
Sugar beet_165.png,Sugar beet
Black-grass_46.png,Black-grass
Cleavers_231.png,Cleavers
Maize_224.png,Maize
Maize_230.png,Maize
Loose Silky-bent_198.png,Loose Silky-bent
Cleavers_225.png,Cleavers
Black-grass_91.png,Black-grass
Maize_218.png,Maize
Black-grass_85.png,Black-grass
Cleavers_219.png,Cleavers
Charlock_5.png,Charlock
Shepherds Purse_190.png,Shepherds Purse
Common wheat_252.png,Common wheat
Shepherds Purse_95.png,Shepherds Purse
Shepherds Purse_81.png,Shepherds Purse
Maize_8.png,Maize
Shepherds Purse_184.png,Shepherds Purse
Fat Hen_247.png,Fat Hen
Common wheat_246.png,Common wheat
Common Chickweed_4.png,Common Chickweed
Scentless Mayweed_139.png,Scentless Mayweed
Shepherds Purse_153.png,Shepherds Purse
Shepherds Purse_56.png,Shepherds Purse
Charlock_222.png,Charlock
Charlock_236.png,Charlock
Shepherds Purse_42.png,Shepherds Purse
Shepherds Purse_147.png,Shepherds Purse
Scentless Mayweed_105.png,Scentless Mayweed
Scentless Mayweed_111.png,Scentless Mayweed
Common Chickweed_240.png,Common Chickweed
Small-flowered Cranesbill_242.png,Small-flowered Cranesbill
Loose Silky-bent_239.png,Loose Silky-bent
Maize_191.png,Maize
Cleavers_184.png,Cleavers
Scentless Mayweed_40.png,Scentless Mayweed
Scentless Mayweed_54.png,Scentless Mayweed
Cleavers_190.png,Cleavers
Maize_185.png,Maize
Loose Silky-bent_205.png,Loose Silky-bent
Fat Hen_2.png,Fat Hen
Fat Hen_86.png,Fat Hen
Common wheat_86.png,Common wheat
Sugar beet_207.png,Sugar beet
Sugar beet_213.png,Sugar beet
Common wheat_92.png,Common wheat
Scentless Mayweed_68.png,Scentless Mayweed
Fat Hen_92.png,Fat Hen
Loose Silky-bent_211.png,Loose Silky-bent
Maize_152.png,Maize
Loose Silky-bent_60.png,Loose Silky-bent
Fat Hen_79.png,Fat Hen
Scentless Mayweed_83.png,Scentless Mayweed
Common wheat_79.png,Common wheat
Cleavers_147.png,Cleavers
Cleavers_153.png,Cleavers
Scentless Mayweed_97.png,Scentless Mayweed
Maize_146.png,Maize
Loose Silky-bent_74.png,Loose Silky-bent
Fat Hen_45.png,Fat Hen
Common wheat_45.png,Common wheat
Common wheat_51.png,Common wheat
Loose Silky-bent_48.png,Loose Silky-bent
Fat Hen_51.png,Fat Hen
Cleavers_46.png,Cleavers
Charlock_197.png,Charlock
Small-flowered Cranesbill_16.png,Small-flowered Cranesbill
Fat Hen_125.png,Fat Hen
Common Chickweed_72.png,Common Chickweed
Sugar beet_80.png,Sugar beet
Common wheat_124.png,Common wheat
Common Chickweed_66.png,Common Chickweed
Fat Hen_131.png,Fat Hen
Sugar beet_94.png,Sugar beet
Common wheat_130.png,Common wheat
Cleavers_52.png,Cleavers
Charlock_183.png,Charlock
Fat Hen_119.png,Fat Hen
Common wheat_118.png,Common wheat
Charlock_93.png,Charlock
Charlock_87.png,Charlock
Charlock_154.png,Charlock
Cleavers_85.png,Cleavers
Black-grass_128.png,Black-grass
Shepherds Purse_225.png,Shepherds Purse
Sugar beet_43.png,Sugar beet
Charlock_78.png,Charlock
Shepherds Purse_231.png,Shepherds Purse
Sugar beet_57.png,Sugar beet
Maize_17.png,Maize
Charlock_140.png,Charlock
Cleavers_91.png,Cleavers
Black-grass_114.png,Black-grass
Charlock_168.png,Charlock
Charlock_50.png,Charlock
Loose Silky-bent_3.png,Loose Silky-bent
Shepherds Purse_219.png,Shepherds Purse
Common Chickweed_122.png,Common Chickweed
Common Chickweed_136.png,Common Chickweed
Common Chickweed_99.png,Common Chickweed
Charlock_44.png,Charlock
Black-grass_100.png,Loose Silky-bent
Cleavers_95.png,Cleavers
Charlock_144.png,Charlock
Maize_13.png,Maize
Black-grass_138.png,Black-grass
Sugar beet_53.png,Sugar beet
Shepherds Purse_235.png,Shepherds Purse
Charlock_68.png,Charlock
Sugar beet_47.png,Sugar beet
Shepherds Purse_221.png,Shepherds Purse
Cleavers_81.png,Cleavers
Charlock_150.png,Charlock
Black-grass_104.png,Black-grass
Charlock_178.png,Charlock
Charlock_40.png,Charlock
Shepherds Purse_209.png,Shepherds Purse
Common Chickweed_132.png,Common Chickweed
Common Chickweed_126.png,Common Chickweed
Common Chickweed_89.png,Common Chickweed
Charlock_54.png,Charlock
Loose Silky-bent_7.png,Loose Silky-bent
Black-grass_110.png,Black-grass
Charlock_187.png,Charlock
Cleavers_56.png,Cleavers
Common wheat_134.png,Common wheat
Sugar beet_90.png,Sugar beet
Fat Hen_135.png,Fat Hen
Common Chickweed_62.png,Common Chickweed
Common wheat_120.png,Common wheat
Sugar beet_84.png,Sugar beet
Common Chickweed_76.png,Common Chickweed
Fat Hen_121.png,Fat Hen
Small-flowered Cranesbill_12.png,Small-flowered Cranesbill
Charlock_193.png,Charlock
Cleavers_42.png,Cleavers
Common wheat_108.png,Common wheat
Fat Hen_109.png,Fat Hen
Charlock_83.png,Charlock
Charlock_97.png,Charlock
Loose Silky-bent_70.png,Loose Silky-bent
Maize_142.png,Maize
Fat Hen_69.png,Fat Hen
Scentless Mayweed_93.png,Scentless Mayweed
Common wheat_69.png,Common wheat
Cleavers_157.png,Cleavers
Cleavers_143.png,Cleavers
Scentless Mayweed_87.png,Scentless Mayweed
Loose Silky-bent_64.png,Loose Silky-bent
Maize_156.png,Maize
Fat Hen_55.png,Fat Hen
Common wheat_55.png,Common wheat
Common wheat_41.png,Common wheat
Loose Silky-bent_58.png,Loose Silky-bent
Fat Hen_41.png,Fat Hen
Small-flowered Cranesbill_252.png,Small-flowered Cranesbill
Loose Silky-bent_229.png,Loose Silky-bent
Maize_181.png,Maize
Cleavers_194.png,Cleavers
Scentless Mayweed_50.png,Scentless Mayweed
Scentless Mayweed_44.png,Scentless Mayweed
Cleavers_180.png,Cleavers
Maize_195.png,Maize
Small-flowered Cranesbill_246.png,Small-flowered Cranesbill
Loose Silky-bent_215.png,Loose Silky-bent
Fat Hen_96.png,Fat Hen
Sugar beet_217.png,Sugar beet
Common wheat_96.png,Common wheat
Common wheat_82.png,Common wheat
Sugar beet_203.png,Sugar beet
Scentless Mayweed_78.png,Scentless Mayweed
Fat Hen_82.png,Fat Hen
Fat Hen_6.png,Fat Hen
Loose Silky-bent_201.png,Loose Silky-bent
Shepherds Purse_143.png,Shepherds Purse
Scentless Mayweed_129.png,Scentless Mayweed
Shepherds Purse_46.png,Shepherds Purse
Charlock_232.png,Charlock
Charlock_226.png,Charlock
Shepherds Purse_52.png,Shepherds Purse
Shepherds Purse_157.png,Shepherds Purse
Common Chickweed_244.png,Common Chickweed
Scentless Mayweed_115.png,Scentless Mayweed
Common Chickweed_250.png,Common Chickweed
Scentless Mayweed_101.png,Scentless Mayweed
Common wheat_242.png,Common wheat
Fat Hen_243.png,Fat Hen
Shepherds Purse_180.png,Shepherds Purse
Shepherds Purse_85.png,Shepherds Purse
Shepherds Purse_91.png,Shepherds Purse
Shepherds Purse_194.png,Shepherds Purse
Common Chickweed_0.png,Common Chickweed
Cleavers_221.png,Cleavers
Maize_234.png,Maize
Maize_220.png,Maize
Loose Silky-bent_188.png,Loose Silky-bent
Cleavers_235.png,Cleavers
Charlock_1.png,Charlock
Black-grass_81.png,Black-grass
Maize_208.png,Maize
Black-grass_95.png,Black-grass
Cleavers_209.png,Cleavers
Cleavers_7.png,Cleavers
Small-flowered Cranesbill_124.png,Small-flowered Cranesbill
Small-flowered Cranesbill_130.png,Small-flowered Cranesbill
Sugar beet_149.png,Sugar beet
Sugar beet_161.png,Sugar beet
Black-grass_42.png,Black-grass
Small-flowered Cranesbill_118.png,Small-flowered Cranesbill
Loose Silky-bent_163.png,Loose Silky-bent
Loose Silky-bent_177.png,Loose Silky-bent
Sugar beet_175.png,Sugar beet
Black-grass_56.png,Black-grass
Loose Silky-bent_176.png,Loose Silky-bent
Black-grass_57.png,Black-grass
Sugar beet_174.png,Sugar beet
Black-grass_43.png,Black-grass
Sugar beet_160.png,Sugar beet
Loose Silky-bent_162.png,Loose Silky-bent
Small-flowered Cranesbill_119.png,Small-flowered Cranesbill
Small-flowered Cranesbill_131.png,Small-flowered Cranesbill
Sugar beet_148.png,Sugar beet
Small-flowered Cranesbill_125.png,Small-flowered Cranesbill
Cleavers_6.png,Cleavers
Black-grass_94.png,Black-grass
Cleavers_208.png,Cleavers
Black-grass_80.png,Loose Silky-bent
Charlock_0.png,Charlock
Maize_209.png,Scentless Mayweed
Loose Silky-bent_189.png,Loose Silky-bent
Maize_221.png,Maize
Cleavers_234.png,Cleavers
Cleavers_220.png,Cleavers
Maize_235.png,Maize
Common Chickweed_1.png,Common Chickweed
Shepherds Purse_90.png,Shepherds Purse
Shepherds Purse_195.png,Shepherds Purse
Fat Hen_242.png,Fat Hen
Shepherds Purse_181.png,Shepherds Purse
Common wheat_243.png,Common wheat
Shepherds Purse_84.png,Shepherds Purse
Scentless Mayweed_100.png,Scentless Mayweed
Common Chickweed_251.png,Common Chickweed
Scentless Mayweed_114.png,Scentless Mayweed
Common Chickweed_245.png,Common Chickweed
Shepherds Purse_53.png,Shepherds Purse
Charlock_227.png,Charlock
Shepherds Purse_156.png,Shepherds Purse
Scentless Mayweed_128.png,Scentless Mayweed
Shepherds Purse_142.png,Shepherds Purse
Charlock_233.png,Charlock
Shepherds Purse_47.png,Shepherds Purse
Scentless Mayweed_79.png,Scentless Mayweed
Sugar beet_202.png,Sugar beet
Common wheat_83.png,Common wheat
Loose Silky-bent_200.png,Loose Silky-bent
Fat Hen_7.png,Fat Hen
Fat Hen_83.png,Fat Hen
Fat Hen_97.png,Fat Hen
Loose Silky-bent_214.png,Loose Silky-bent
Common wheat_97.png,Common wheat
Sugar beet_216.png,Sugar beet
Cleavers_181.png,Cleavers
Scentless Mayweed_45.png,Scentless Mayweed
Small-flowered Cranesbill_247.png,Small-flowered Cranesbill
Maize_194.png,Maize
Maize_180.png,Maize
Loose Silky-bent_228.png,Loose Silky-bent
Scentless Mayweed_51.png,Scentless Mayweed
Cleavers_195.png,Cleavers
Common wheat_40.png,Common wheat
Fat Hen_40.png,Fat Hen
Loose Silky-bent_59.png,Loose Silky-bent
Fat Hen_54.png,Fat Hen
Common wheat_54.png,Common wheat
Scentless Mayweed_86.png,Scentless Mayweed
Cleavers_142.png,Cleavers
Maize_157.png,Maize
Loose Silky-bent_65.png,Loose Silky-bent
Fat Hen_68.png,Fat Hen
Maize_143.png,Maize
Loose Silky-bent_71.png,Loose Silky-bent
Cleavers_156.png,Cleavers
Common wheat_68.png,Common wheat
Scentless Mayweed_92.png,Scentless Mayweed
Charlock_96.png,Charlock
Charlock_82.png,Charlock
Fat Hen_108.png,Fat Hen
Common wheat_109.png,Common wheat
Small-flowered Cranesbill_13.png,Small-flowered Cranesbill
Common Chickweed_77.png,Common Chickweed
Fat Hen_120.png,Fat Hen
Sugar beet_85.png,Sugar beet
Common wheat_121.png,Common wheat
Cleavers_43.png,Cleavers
Charlock_192.png,Charlock
Cleavers_57.png,Cleavers
Charlock_186.png,Charlock
Fat Hen_134.png,Fat Hen
Common Chickweed_63.png,Common Chickweed
Sugar beet_91.png,Sugar beet
Common wheat_135.png,Common wheat
Loose Silky-bent_6.png,Loose Silky-bent
Charlock_55.png,Charlock
Common Chickweed_127.png,Common Chickweed
Common Chickweed_88.png,Common Chickweed
Black-grass_111.png,Black-grass
Charlock_179.png,Charlock
Black-grass_105.png,Black-grass
Shepherds Purse_208.png,Shepherds Purse
Common Chickweed_133.png,Common Chickweed
Charlock_41.png,Charlock
Shepherds Purse_220.png,Shepherds Purse
Sugar beet_46.png,Sugar beet
Charlock_69.png,Charlock
Charlock_151.png,Charlock
Cleavers_80.png,Cleavers
Black-grass_139.png,Black-grass
Maize_12.png,Maize
Charlock_145.png,Charlock
Cleavers_94.png,Cleavers
Shepherds Purse_234.png,Scentless Mayweed
Sugar beet_52.png,Sugar beet
Cleavers_82.png,Cleavers
Charlock_153.png,Charlock
Shepherds Purse_222.png,Shepherds Purse
Common Chickweed_119.png,Common Chickweed
Sugar beet_44.png,Sugar beet
Scentless Mayweed_248.png,Scentless Mayweed
Shepherds Purse_236.png,Shepherds Purse
Sugar beet_50.png,Sugar beet
Cleavers_96.png,Cleavers
Charlock_147.png,Charlock
Maize_10.png,Maize
Maize_38.png,Maize
Black-grass_113.png,Black-grass
Sugar beet_78.png,Sugar beet
Common Chickweed_125.png,Common Chickweed
Charlock_57.png,Charlock
Loose Silky-bent_4.png,Loose Silky-bent
Charlock_43.png,Charlock
Common Chickweed_131.png,Common Chickweed
Black-grass_107.png,Black-grass
Sugar beet_9.png,Sugar beet
Charlock_190.png,Charlock
Cleavers_41.png,Cleavers
Common wheat_123.png,Common wheat
Fat Hen_122.png,Fat Hen
Common Chickweed_75.png,Common Chickweed
Sugar beet_87.png,Sugar beet
Small-flowered Cranesbill_11.png,Small-flowered Cranesbill
Common wheat_137.png,Common wheat
Common Chickweed_61.png,Common Chickweed
Fat Hen_136.png,Fat Hen
Sugar beet_93.png,Sugar beet
Charlock_184.png,Charlock
Cleavers_55.png,Cleavers
Charlock_94.png,Charlock
Common Chickweed_49.png,Common Chickweed
Small-flowered Cranesbill_39.png,Small-flowered Cranesbill
Charlock_80.png,Charlock
Cleavers_69.png,Cleavers
Loose Silky-bent_67.png,Loose Silky-bent
Maize_155.png,Maize
Cleavers_140.png,Cleavers
Scentless Mayweed_84.png,Scentless Mayweed
Scentless Mayweed_90.png,Scentless Mayweed
Cleavers_154.png,Cleavers
Loose Silky-bent_73.png,Loose Silky-bent
Maize_141.png,Maize
Maize_169.png,Maize
Fat Hen_42.png,Fat Hen
Common wheat_42.png,Common wheat
Common wheat_56.png,Common wheat
Cleavers_168.png,Cleavers
Fat Hen_56.png,Fat Hen
Maize_196.png,Maize
Small-flowered Cranesbill_245.png,Small-flowered Cranesbill
Scentless Mayweed_47.png,Scentless Mayweed
Cleavers_183.png,Cleavers
Sugar beet_228.png,Sugar beet
Cleavers_197.png,Cleavers
Scentless Mayweed_53.png,Scentless Mayweed
Small-flowered Cranesbill_251.png,Small-flowered Cranesbill
Maize_182.png,Maize
Fat Hen_81.png,Fat Hen
Fat Hen_5.png,Fat Hen
Loose Silky-bent_202.png,Loose Silky-bent
Loose Silky-bent_98.png,Loose Silky-bent
Common wheat_81.png,Common wheat
Sugar beet_200.png,Sugar beet
Sugar beet_214.png,Sugar beet
Common wheat_95.png,Common wheat
Loose Silky-bent_216.png,Loose Silky-bent
Fat Hen_95.png,Fat Hen
Shepherds Purse_154.png,Shepherds Purse
Charlock_225.png,Charlock
Shepherds Purse_51.png,Shepherds Purse
Shepherds Purse_45.png,Shepherds Purse
Charlock_231.png,Charlock
Shepherds Purse_140.png,Shepherds Purse
Shepherds Purse_168.png,Shepherds Purse
Scentless Mayweed_102.png,Scentless Mayweed
Charlock_219.png,Charlock
Shepherds Purse_79.png,Shepherds Purse
Common Chickweed_247.png,Common Chickweed
Scentless Mayweed_116.png,Scentless Mayweed
Shepherds Purse_197.png,Shepherds Purse
Shepherds Purse_92.png,Shepherds Purse
Shepherds Purse_86.png,Shepherds Purse
Common wheat_241.png,Common wheat
Shepherds Purse_183.png,Shepherds Purse
Fat Hen_240.png,Fat Hen
Common Chickweed_3.png,Common Chickweed
Sugar beet_189.png,Sugar beet
Cleavers_236.png,Cleavers
Maize_223.png,Maize
Scentless Mayweed_9.png,Scentless Mayweed
Maize_237.png,Maize
Cleavers_222.png,Cleavers
Black-grass_96.png,Black-grass
Charlock_2.png,Charlock
